SchemaName                                                                                                                       TableName                                                                                                                        ApproxRowCount
-------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- --------------------
dbo                                                                                                                              CO_ContainerProfile                                                                                                              1722128
dbo                                                                                                                              CO_Containers                                                                                                                    2591916
dbo                                                                                                                              CP_Deal                                                                                                                          2080099
dbo                                                                                                                              CP_Order                                                                                                                         400969
dbo                                                                                                                              RG_A1                                                                                                                            3
dbo                                                                                                                              RG_B3                                                                                                                            475
dbo                                                                                                                              RG_Container                                                                                                                     0
dbo                                                                                                                              RG_Log                                                                                                                           31654
dbo                                                                                                                              RG_Shifting                                                                                                                      503414
dbo                                                                                                                              TB_Location                                                                                                                      35174
dbo                                                                                                                              TB_Parameters                                                                                                                    1
dbo                                                                                                                              RG_ColDG                                                                                                                         84
dbo                                                                                                                              RG_ErrorLog                                                                                                                      1615872
dbo                                                                                                                              TB_Drivers                                                                                                                       49667
dbo                                                                                                                              TB_WorkType                                                                                                                      190
dbo                                                                                                                              HR_Emp                                                                                                                           876
dbo                                                                                                                              SC_AppGroup                                                                                                                      1060
dbo                                                                                                                              SC_Users                                                                                                                         1345
dbo                                                                                                                              TB_RecommendedLocation                                                                                                           80
dbo                                                                                                                              TC_Client                                                                                                                        90559
dbo                                                                                                                              TC_HazardousSubstances                                                                                                           1966

